machine,day,window,used_minutes,remaining_machine_capacity_minutes,utilization
3,8,2,0.0,36,0.0
3,8,3,36.0,60,0.6
3,8,4,48.0,60,0.8
3,9,1,36.0,96,0.375
3,9,2,0.0,36,0.0
3,9,3,24.0,96,0.25
3,9,4,36.0,60,0.6
3,10,1,12.0,96,0.125
3,10,2,0.0,48,0.0
3,10,3,24.0,96,0.25
3,10,4,24.0,72,0.3333333333333333
3,11,1,24.0,96,0.25
3,11,2,0.0,48,0.0
3,11,3,0.0,108,0.0
3,11,4,36.0,96,0.375
3,12,1,36.0,96,0.375
3,12,2,24.0,48,0.5
3,12,3,12.0,108,0.1111111111111111
3,12,4,36.0,96,0.375
3,13,1,36.0,96,0.375
3,13,2,0.0,48,0.0
3,13,3,12.0,108,0.1111111111111111
3,13,4,48.0,96,0.5
3,14,1,24.0,108,0.2222222222222222
3,14,2,0.0,48,0.0
3,14,3,24.0,108,0.2222222222222222
3,14,4,48.0,120,0.4
3,15,1,36.0,108,0.3333333333333333
3,15,2,24.0,72,0.3333333333333333
3,15,3,12.0,108,0.1111111111111111
3,15,4,48.0,120,0.4
3,16,1,12.0,108,0.1111111111111111
3,16,2,0.0,72,0.0
3,16,3,12.0,108,0.1111111111111111
3,16,4,84.0,120,0.7
3,17,1,0.0,108,0.0
3,17,2,48.0,84,0.5714285714285714
3,17,3,12.0,108,0.1111111111111111
3,17,4,48.0,120,0.4
3,18,1,12.0,108,0.1111111111111111
3,18,2,24.0,84,0.2857142857142857
3,18,3,12.0,108,0.1111111111111111
3,18,4,60.0,120,0.5
3,19,1,0.0,108,0.0
3,19,2,12.0,108,0.1111111111111111
3,19,3,12.0,120,0.1
3,19,4,72.0,120,0.6
3,20,1,12.0,120,0.1
3,20,2,24.0,108,0.2222222222222222
3,20,3,24.0,120,0.2
3,20,4,36.0,120,0.3
3,21,1,24.0,120,0.2
3,21,2,12.0,108,0.1111111111111111
3,21,3,36.0,120,0.3
3,21,4,24.0,120,0.2
3,22,1,0.0,120,0.0
3,22,2,12.0,108,0.1111111111111111
3,22,3,24.0,120,0.2
3,22,4,60.0,120,0.5
3,23,1,0.0,120,0.0
3,23,2,12.0,108,0.1111111111111111
3,23,3,36.0,120,0.3
3,23,4,48.0,120,0.4
3,24,1,12.0,120,0.1
3,24,2,36.0,108,0.3333333333333333
3,24,3,12.0,120,0.1
3,24,4,36.0,120,0.3
3,25,1,0.0,120,0.0
3,25,2,24.0,108,0.2222222222222222
3,25,3,12.0,120,0.1
3,25,4,60.0,120,0.5
3,26,1,0.0,120,0.0
3,26,2,24.0,120,0.2
3,26,3,24.0,120,0.2
3,26,4,48.0,120,0.4
3,27,1,0.0,120,0.0
3,27,2,12.0,120,0.1
3,27,3,24.0,120,0.2
3,27,4,36.0,120,0.3
3,28,1,24.0,120,0.2
3,28,2,12.0,120,0.1
3,28,3,24.0,120,0.2
3,28,4,12.0,120,0.1
3,29,1,0.0,120,0.0
3,29,2,24.0,120,0.2
3,29,3,24.0,120,0.2
3,29,4,12.0,120,0.1
3,30,1,12.0,120,0.1
3,30,2,12.0,120,0.1
3,30,3,12.0,120,0.1
3,30,4,24.0,120,0.2
3,31,1,12.0,120,0.1
3,31,2,0.0,120,0.0
3,31,3,24.0,120,0.2
3,31,4,24.0,120,0.2
3,32,1,0.0,120,0.0
3,32,2,0.0,120,0.0
3,32,3,12.0,120,0.1
3,32,4,12.0,120,0.1
3,33,1,0.0,120,0.0
3,33,2,0.0,120,0.0
3,33,3,0.0,120,0.0
3,33,4,24.0,120,0.2
3,34,1,0.0,120,0.0
3,34,2,0.0,120,0.0
3,34,3,12.0,120,0.1
3,34,4,12.0,120,0.1
3,35,1,12.0,120,0.1
3,35,2,0.0,120,0.0
3,35,3,0.0,120,0.0
3,35,4,12.0,120,0.1
3,36,1,0.0,120,0.0
3,36,2,0.0,120,0.0
3,36,3,0.0,120,0.0
3,36,4,24.0,120,0.2
3,37,1,0.0,120,0.0
3,37,2,0.0,120,0.0
3,37,3,12.0,120,0.1
3,37,4,12.0,120,0.1
3,38,1,0.0,120,0.0
3,38,2,0.0,120,0.0
3,38,3,12.0,120,0.1
3,38,4,12.0,120,0.1
3,39,1,0.0,120,0.0
3,39,2,0.0,120,0.0
3,39,3,12.0,120,0.1
3,39,4,12.0,120,0.1
3,40,1,0.0,120,0.0
